Restoran_Adi,Yorum,Restoran_Link,new_Yorum
Pizza Bulls (Reşitpaşa),Hızlı ve doğru getirdiniz teşekkürler,https://tgoyemek.com/restoranlar/17346,Hızlı ve doğru getirdiniz teşekkürler
Pizza Bulls (Reşitpaşa),"2 saatte gelip getirdiklerinde de haber etmeyen bir restoran. En azından kaliteli olsa o da yok. Patates pişmemiş, pizza buz gibi ve malzemelerin tadı gelmiyordu.",https://tgoyemek.com/restoranlar/17346,"2 saatte gelip getirdiklerinde de haber etmeyen bir restoran. En azından kaliteli olsa o da yok. Patates pişmemiş, pizza buz gibi ve malzemelerin tadı gelmiyordu."
Pizza Bulls (Reşitpaşa),Hem 1 saati aşkın bekledim hemde buzz gibi soğuk geldi iade talep ettim,https://tgoyemek.com/restoranlar/17346,Hem 1 saati aşkın bekledim hemde buzz gibi soğuk geldi iade talep ettim
Pizza Bulls (Reşitpaşa),kola yerine ayran gondermeyi nasil basadiniz sasirdim dogrusu,https://tgoyemek.com/restoranlar/17346,kola yerine ayran gondermeyi nasil basadiniz sasirdim dogrusu
Pizza Bulls (Reşitpaşa),Teşekkürler,https://tgoyemek.com/restoranlar/17346,Teşekkürler
Pizza Bulls (Reşitpaşa),Doyurucu kıvamdaydı,https://tgoyemek.com/restoranlar/17346,Doyurucu kıvamdaydı
Pizza Bulls (Reşitpaşa),O kadar geç geldi ki pizza söylediğimi unuttum,https://tgoyemek.com/restoranlar/17346,O kadar geç geldi ki pizza söylediğimi unuttum
Pizza Bulls (Reşitpaşa),Siparişiniz teslim edildi diye ne bir bildirim geldi ne de bir arama. Trendyoldan kontrol ettiğimde bile hala hazırlanıyor gözüküyordu. Oysaki yemek teslim edilmiş girişe bırakılmış. Bu yüzden yemeğimi soğuk yemek zorunda kaldım.,https://tgoyemek.com/restoranlar/17346,Siparişiniz teslim edildi diye ne bir bildirim geldi ne de bir arama. Trendyoldan kontrol ettiğimde bile hala hazırlanıyor gözüküyordu. Oysaki yemek teslim edilmiş girişe bırakılmış. Bu yüzden yemeğimi soğuk yemek zorunda kaldım.
Pizza Bulls (Reşitpaşa),kurye ulaşamadım demiş ama ne arama düştü ne de uygulamada sipariş teslim edildi bildirimi geldi ben de telefonun başında bekliyordum,https://tgoyemek.com/restoranlar/17346,kurye ulaşamadım demiş ama ne arama düştü ne de uygulamada sipariş teslim edildi bildirimi geldi ben de telefonun başında bekliyordum
Pizza Bulls (Reşitpaşa),Coca Cola normal 1 lt istemiştim. 33 cc lik kutu zero geldi.,https://tgoyemek.com/restoranlar/17346,Coca Cola normal 1 lt istemiştim. 33 cc lik kutu zero geldi.
Pizza Bulls (Reşitpaşa),o kadar geç geldi ki bir dahakine 3 gün önceden söyleriz,https://tgoyemek.com/restoranlar/17346,o kadar geç geldi ki bir dahakine 3 gün önceden söyleriz
Pizza Bulls (Reşitpaşa),Çok teşekkür ederim.,https://tgoyemek.com/restoranlar/17346,Çok teşekkür ederim.
Pizza Bulls (Reşitpaşa),lezzetli ve hızlı geldi teşekkürler,https://tgoyemek.com/restoranlar/17346,lezzetli ve hızlı geldi teşekkürler
Pizza Bulls (Reşitpaşa),sipariş verdikten 1 saat 40 dakika sonra soğuk bir şekilde geldi.,https://tgoyemek.com/restoranlar/17346,sipariş verdikten 1 saat 40 dakika sonra soğuk bir şekilde geldi.
Pizza Bulls (Reşitpaşa),"1.5 saatte geldi ve soğuk geldi soğan halkaları da soğuk ve bayattı, ben yorumlara bakmadım zaten herkes aynı şeyi yazmış tavsiye etmiyorum",https://tgoyemek.com/restoranlar/17346,"1.5 saatte geldi ve soğuk geldi soğan halkaları da soğuk ve bayattı, ben yorumlara bakmadım zaten herkes aynı şeyi yazmış tavsiye etmiyorum"
Pizza Bulls (Reşitpaşa),"Siparişimde olmayan malzemeler kullanılmıştı, mozarella miktarı çok fazlaydı",https://tgoyemek.com/restoranlar/17346,"Siparişimde olmayan malzemeler kullanılmıştı, mozarella miktarı çok fazlaydı"
Pizza Bulls (Reşitpaşa),Siparişin hazırlanması tam olarak 2 saat sürdü kurye sağolsun hızlı getirdi tek iyi yanı kurye.,https://tgoyemek.com/restoranlar/17346,Siparişin hazırlanması tam olarak 2 saat sürdü kurye sağolsun hızlı getirdi tek iyi yanı kurye.
Pizza Bulls (Reşitpaşa),Hakkını veriyorlar pizzanın,https://tgoyemek.com/restoranlar/17346,Hakkını veriyorlar pizzanın
Pizza Bulls (Reşitpaşa),sosum eksikti ve 1 saat gec geldi,https://tgoyemek.com/restoranlar/17346,sosum eksikti ve 1 saat gec geldi
Pizza Bulls (Reşitpaşa),Sucuksuz istememe rağmen sucukluydu. Eskiden çok çok güzel ve kaliteliydi ama maalesef biraz bozmuş,https://tgoyemek.com/restoranlar/17346,Sucuksuz istememe rağmen sucukluydu. Eskiden çok çok güzel ve kaliteliydi ama maalesef biraz bozmuş
Domino's Pizza (Maslak),Yorum bulunamadı,https://tgoyemek.com/restoranlar/28195,Yorum bulunamadı
Little Caesars Pizza (Maslak),"Çok geç gelen, yola çıktıktan sonra kapıda insanı ağaç eden soğuk bir siparişti. Lezzeti de çok iyi değil",https://tgoyemek.com/restoranlar/284697,"Çok geç gelen, yola çıktıktan sonra kapıda insanı ağaç eden soğuk bir siparişti. Lezzeti de çok iyi değil"
Little Caesars Pizza (Maslak),Son 3 siparişte Ekstra sos ücretini aldıklarını gibi göndermeyi beceremiyolar :),https://tgoyemek.com/restoranlar/284697,Son 3 siparişte Ekstra sos ücretini aldıklarını gibi göndermeyi beceremiyolar :)
Little Caesars Pizza (Maslak),yanlış ürün geldi içe eğim gelmedi ama yedim bir de ürünler değişmiş eski hali daha güzeldi dönerin sosu kötü olmuş puflar eskiden daha puftu,https://tgoyemek.com/restoranlar/284697,yanlış ürün geldi içe eğim gelmedi ama yedim bir de ürünler değişmiş eski hali daha güzeldi dönerin sosu kötü olmuş puflar eskiden daha puftu
Little Caesars Pizza (Maslak),yanmış ürün ve yanlış sipariş teslimi,https://tgoyemek.com/restoranlar/284697,yanmış ürün ve yanlış sipariş teslimi
Little Caesars Pizza (Maslak),"1:30 saatde geldi 2km yolu , haliyle pizza pizzalıktan çıkmıştı, extra mantar talebim karşılanmadı",https://tgoyemek.com/restoranlar/284697,"1:30 saatde geldi 2km yolu , haliyle pizza pizzalıktan çıkmıştı, extra mantar talebim karşılanmadı"
Little Caesars Pizza (Maslak),Gelen kurye arkadaş sanki zorla çalıştırılıyor gibi görünüyordu müşteriye karşı tavırlarını hiç beğenmedim bilginiz olsun.,https://tgoyemek.com/restoranlar/284697,Gelen kurye arkadaş sanki zorla çalıştırılıyor gibi görünüyordu müşteriye karşı tavırlarını hiç beğenmedim bilginiz olsun.
Little Caesars Pizza (Maslak),Sıcak ve hızlı teslimat,https://tgoyemek.com/restoranlar/284697,Sıcak ve hızlı teslimat
Little Caesars Pizza (Maslak),Gelen büyük boy pizza’nın üzerindeki malzeme kapağına komple yapışmıştı pizzalar üst üste koyulmuş berbat ve dikkatsiz bir paketleme veya kuryenin dikkatsizliği artık neyse fotoğrafı mevcuttur nihayetinde kimse parayı ağaçtan toplamıyor.,https://tgoyemek.com/restoranlar/284697,Gelen büyük boy pizza’nın üzerindeki malzeme kapağına komple yapışmıştı pizzalar üst üste koyulmuş berbat ve dikkatsiz bir paketleme veya kuryenin dikkatsizliği artık neyse fotoğrafı mevcuttur nihayetinde kimse parayı ağaçtan toplamıyor.
Little Caesars Pizza (Maslak),pizzalar yanlış geldi,https://tgoyemek.com/restoranlar/284697,pizzalar yanlış geldi
Little Caesars Pizza (Maslak),süperdi kötü hava şartlarında bile bizlere canla başla pizzamızı getiren kuryelere teşekkür ederim özelikle👏👏🙏,https://tgoyemek.com/restoranlar/284697,süperdi kötü hava şartlarında bile bizlere canla başla pizzamızı getiren kuryelere teşekkür ederim özelikle👏👏🙏
Little Caesars Pizza (Maslak),Tavuklu çok iyiydi,https://tgoyemek.com/restoranlar/284697,Tavuklu çok iyiydi
Little Caesars Pizza (Maslak),Soğuktu yanlış içecek geldi,https://tgoyemek.com/restoranlar/284697,Soğuktu yanlış içecek geldi
