Restoran Adı,Puan,Teslimat Süresi,Min. Tutar,Mutfak,Fiyat Aralığı,Minimum Tutar,Teslimat Ücreti,Minimum Sipariş,Mutfak Tipi,degerlendirme
Hot Döner (Ayazağa),4,35-45dk,150 TL,Döner,,,,,,(1100+)
Paşa Döner (Sarıyer Merkez),4,55-65dk,1.000 TL,Döner,,,,,,(650+)
Maydonoz Döner (Sarıyer Merkez),2025-09-03 00:00:00,45-55dk,650 TL,Döner,,,,,,(700+)
Bİ DÖNER HATAY USÜLÜ (Sultan Selim),2025-06-03 00:00:00,25-35dk,300 TL,Döner,,,,,,(20+)
Döner Bank Maslak Sanayi (Maslak),2025-05-04 00:00:00,15-25dk,80 TL,Döner,,,,,,(750+)
Dönerken Uğra (Ayazağa),2025-03-04 00:00:00,35-45dk,160 TL,Döner,,,,,,(8+)
Pizza Bulls (Reşitpaşa),2025-03-04 00:00:00,55-65dk,200 TL,Pizza,,,,,,(6700+)
Maslak Dönercisi (Maslak),,20-30dk,80 TL,Döner,,,,,,
Löpsss Döner (Maslak),2025-09-03 00:00:00,25-35dk,80 TL,Döner,,,,,,(150+)
Little Caesars Pizza (Maslak),4,25-35dk,300 TL,Pizza,,,,,,(1100+)
Şah Antep Kebap Dürüm Izgara (Sultan Selim),2025-04-04 00:00:00,30-40dk,650 TL,Kebap,,,,,,(20+)
Arada Bi Kokoreç (Reşitpaşa),2025-02-03 00:00:00,35-45dk,120 TL,Döner,,,,,,(400+)
Mançurya (Ferahevler),2025-02-04 00:00:00,50-60dk,600 TL,Burger,,,,,,(250+)
Beğendik Kebap & Izgara (Huzur),2025-09-03 00:00:00,35-45dk,455 TL,Döner,,,,,,(100+)
Adıyaman Döner Sofrası (Gülbahar),2025-06-04 00:00:00,40-50dk,700 TL,Tavuk,,,,,,(10+)
Neşe Pizza (Gülbahar),5,35-45dk,685 TL,Kebap,,,,,,(10+)
Merkez Döner (Maden),,30-40dk,1.000 TL,Döner,,,,,,
Etiler Marmaris (Ayazağa),2025-05-04 00:00:00,65-75dk,400 TL,Burger,,,,,,(2400+)
Cızbız Sucuk & Köfte (Ayazağa),2025-04-04 00:00:00,35-45dk,150 TL,Köfte,,,,,,(2900+)
Avrupa Marmaris (İstinye),2025-03-04 00:00:00,25-35dk,500 TL,Sokak Lezzetleri,,,,,,(20+)
Öz Doydum Kebap (İstinye),2025-04-04 00:00:00,25-35dk,120 TL,Kebap,,,,,,(600+)
Avrupa Marmaris (Büyükdere),2025-08-04 00:00:00,25-35dk,700 TL,Tost & Sandviç,,,,,,(1300+)
Marmaris Büfe 1964 (Maslak),2025-02-04 00:00:00,45-55dk,250 TL,Tost & Sandviç,,,,,,(950+)
SR Döner (Sultan Selim),2025-05-04 00:00:00,35-45dk,160 TL,Döner,,,,,,(6300+)
Döner Bank (Huzur),2025-03-04 00:00:00,35-45dk,160 TL,Döner,,,,,,(10+)
Dürüm Dürüm (Sultan Selim),2025-03-04 00:00:00,40-50dk,160 TL,Döner,,,,,,(10+)
Köfteci Yusuf (Huzur),4,40-50dk,120 TL,Burger,,,,,,(1700+)
Lezzet Köfte & Tavuk Izgara (Huzur),,40-50dk,160 TL,Köfte,,,,,,
Köşem Döner ve Büfe (Çeliktepe),2025-08-04 00:00:00,35-45dk,500 TL,Döner,,,,,,(150+)
Hot Döner (Rumeli Hisarı),2025-05-04 00:00:00,45-55dk,1.200 TL,Döner,,,,,,(3400+)
Çıtır Büfe (Reşitpaşa),2025-03-04 00:00:00,40-50dk,450 TL,Döner,,,,,,(3900+)
Hatay Ateşi Döner (Ayazağa),2025-02-04 00:00:00,25-35dk,150 TL,Döner,,,,,,(40+)
Semazen Döner (Seyrantepe),2025-05-04 00:00:00,20-30dk,350 TL,Döner,,,,,,(150+)
Barış Büfe (Etiler),2025-04-04 00:00:00,45-55dk,2.500 TL,Tost & Sandviç,,,,,,(1000+)
46 Zurna Dürüm (Çeliktepe),2025-09-03 00:00:00,25-35dk,700 TL,Döner,,,,,,(4000+)
Paşa Döner (İstinye),2025-03-04 00:00:00,25-35dk,80 TL,Döner,,,,,,(1500+)
Döner Mi Döner (Ayazağa),2025-08-04 00:00:00,25-35dk,150 TL,Döner,,,,,,(5+)
Sadıkoğlu Döner Ve Taş Fırın (Seyrantepe),2025-03-04 00:00:00,20-30dk,800 TL,Sokak Lezzetleri,,,,,,(500+)
Öncü Döner (Çeliktepe),2025-08-03 00:00:00,25-35dk,200 TL,Döner,,,,,,(1300+)
Dönerci Hasan Usta (Levent),,50-60dk,2.200 TL,Döner,,,,,,
Etibol Döner & Lahmacun (Merkez),2025-05-04 00:00:00,30-40dk,1.500 TL,Döner,,,,,,(1300+)
Usta Dönerci (Huzur),,30-40dk,170 TL,Döner,,,,,,
İkram Döner (Ayazağa),2025-06-04 00:00:00,25-35dk,100 TL,Döner,,,,,,(4000+)
Dönerci Ozan Başkan (Emniyet Evleri),2025-02-03 00:00:00,30-40dk,120 TL,Döner,,,,,,(750+)
